date,input,output,cache_read,cache_write,total_tokens,requests
2026-01-29,378,10384,554567,179361,10762,34
2026-01-31,251,4396,665526,190576,4647,22
2026-02-02,46,799,128819,46399,845,4
2026-02-05,386,15072,964706,1738557,15458,81
2026-02-06,7,895,196583,199727,902,15
2026-02-10,10,193,31431,107354,203,3
2026-02-15,103,11386,7716923,674031,11489,73
2026-02-16,90,11683,4615349,837844,11773,82
2026-02-17,19,2272,406874,190296,2291,11
2026-02-18,17,876,139772,260726,893,11
2026-02-19,0,0,0,0,0,4
2026-02-20,942,38934,9963569,2820496,39876,159
2026-02-21,578,29931,2843317,231977,30509,77
2026-02-22,1100,87040,14199219,3899417,88140,177
2026-02-23,720,44872,3983857,1151708,45592,107
2026-02-24,3324,172063,34749669,3756543,175387,447
2026-02-25,1622,91661,17326295,3150339,93283,216
2026-02-26,756,19713,2750917,440038,20469,114
2026-02-27,1556,89117,15636296,2944693,90673,214
2026-02-28,521,42483,3121759,701372,43004,95
2026-03-01,121,16894,2477790,561699,17015,68
2026-03-02,37,6421,487410,123338,6458,33
2026-03-03,77,12474,1722068,225844,12551,64
2026-03-04,112,83376,5402038,812931,83488,86
2026-03-05,328,103,11008,0,431,31
2026-03-06,18,7632,435255,40662,7650,16
2026-03-08,4,446,15319,17998,450,2
2026-03-11,5,468,33197,17052,473,3
2026-03-12,5,633,33452,17516,638,3
2026-03-13,92157,2507,291095,41133,94664,24
2026-03-15,4,510,16771,19229,514,2
2026-03-18,5,522,33927,17387,527,3
2026-03-19,4,361,16754,17420,365,2
2026-03-20,56686,15489,838770,116434,72175,28
2026-03-22,4,381,17060,19922,385,2
2026-03-25,4,309,18031,18452,313,2
2026-03-26,4,328,18129,18775,332,2
2026-03-27,34,17563,758757,79184,17597,30
2026-03-28,15,7171,409662,46348,7186,13
2026-03-29,4,427,18146,20978,431,2
2026-03-30,13,5480,331413,50018,5493,11
2026-04-01,0,0,0,0,0,1
2026-04-02,13838,222,25088,0,14060,7
2026-04-03,168859,1658,874624,0,170517,77
2026-04-08,73457,1370,89216,0,74827,11
2026-04-09,17291,804,196096,0,18095,15
2026-04-10,244009,4274,1478144,0,248283,46
2026-04-12,18496,362,85504,0,18858,7
2026-04-13,31028,2663,128768,0,33691,6
2026-04-14,98930,73188,1441280,0,172118,50
2026-04-15,24657,302,36096,0,24959,5
2026-04-16,12818,244,36096,0,13062,4
2026-04-17,138344,2227,550528,0,140571,47
2026-04-19,0,0,0,0,0,1
2026-04-20,82681,8794,1475328,0,91475,45
2026-04-22,1439,315,30362,15346,1754,3
2026-04-23,50035,998,66336,18808,51033,9
2026-04-24,351208,12709,2222222,6400,363917,63
2026-04-26,36114,521,31360,0,36635,4
2026-04-27,39488,2740,70848,0,42228,7
2026-04-29,15679,323,31584,0,16002,3
2026-04-30,53809,1806,262720,0,55615,17
2026-05-01,128140,1782,219353,15462,129922,18
2026-05-03,78822,908,65280,0,79730,9
2026-05-04,163498,7623,801280,0,171121,53
2026-05-05,97907,2758,348000,0,100665,28
2026-05-06,125552,4180,732064,0,129732,50
2026-05-07,285863,18628,1554656,0,304491,82
2026-05-08,100916,2919,357504,0,103835,22
